Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
M,26,206,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold,1
F,40,160,Romania,ROU,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold,1
F,44,160,Romania,ROU,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze,1
M,29,189,France,FRA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,1
M,27,202,Hungary,HUN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold,1
M,31,202,Hungary,HUN,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Gold,1
M,26,182,Austria,AUT,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy,Silver,1
F,30,170,Belgium,BEL,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,1
M,20,173,Romania,ROU,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Boxing,Boxing Men's Light-Welterweight,Bronze,1
F,31,170,Romania,ROU,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Gold,1
M,23,187,South Korea,KOR,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Football,Football Men's Football,Bronze,1
M,29,184,Italy,ITA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver,1
