Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
M,34,193,Sweden,SWE,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Handball,Handball Men's Handball,Silver,1
M,28,203,Brazil,BRA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold,1
M,32,203,Brazil,BRA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver,1
F,30,180,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Basketball,Basketball Women's Basketball,Bronze,1
M,20,187,Great Britain,GBR,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,1
M,20,187,Great Britain,GBR,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,1
M,23,186,France,FRA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Gold,1
M,24,183,South Korea,KOR,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,Bronze,1
M,24,187,South Korea,KOR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Baseball,Baseball Men's Baseball,Gold,1
F,26,175,Australia,AUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,1
F,30,175,Australia,AUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,1
M,31,187,Switzerland,SUI,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,1
M,15,185,Hungary,HUN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,Silver,1
